,Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
21699,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2009.0,LEXUS,ES300,WHITE,13409b,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
16216,FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,No,No,No,No,No,MD,02 - Automobile,2000.0,VOLVO,V40,RED,22203b,No,WHITE,M,ROCKVILLE,MD,XX,A - Marked Patrol,Citation
1678,FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,No,No,No,Yes,No,MD,06 - Heavy Duty Truck,2009.0,CHEV,TOW TK,BLACK,21301a,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
48994,RT TURN FROM IMPROPER ROAD POSITION,No,No,No,No,No,VA,02 - Automobile,1999.0,DODGE,RAM 1500,WHITE,21601a,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
10253,EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2012.0,NISSAN,SENTRA,SILVER,218011,No,WHITE,M,DERWOOD,MD,MD,Q - Marked Laser,Citation
29124,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2003.0,ISU,TK,BLUE,13401h,No,BLACK,M,HYATTSVILLE,MD,MD,S - License Plate Recognition,Citation
26071,EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2008.0,MERZ,ML350,WHITE,218011,No,BLACK,F,FREDERICK,MD,MD,Q - Marked Laser,Citation
13949,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE,No,No,No,No,No,MD,02 - Automobile,2008.0,DODGE,4D,BLACK,16303f,No,BLACK,F,DURHAM,NC,NC,A - Marked Patrol,Citation
45593,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,VA,02 - Automobile,2000.0,HONDA,ACCORD,WHITE,21201a1,No,ASIAN,M,CENTREVILLE,VA,VA,A - Marked Patrol,Warning
8433,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2000.0,LAND ROVER,SUV,TAN,16303h,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
52119,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,1999.0,VOLV,C70,SILVER,22226a,No,WHITE,F,PALM BCH GRDNS,FL,FL,A - Marked Patrol,Warning
34136,Headlights,No,No,No,No,No,MD,02 - Automobile,2005.0,FORD,4S,GREEN,55,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,SERO
40394,MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,No,No,No,No,No,MD,02 - Automobile,2003.0,FORD,TK,RED,22206a,No,WHITE,M,HUNTINGTOWN,MD,MD,A - Marked Patrol,Warning
23897,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,1999.0,MERZ,4S,SILVER,13411f,No,BLACK,M,WOODBINE,MD,MD,A - Marked Patrol,Citation
61163,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2005.0,CHEVY,4DR,BLACK,16112c,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
8691,NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,VA,02 - Automobile,1999.0,MMERCEDES,C230,BEIGE,219011b,No,HISPANIC,M,SUITLAND,MD,MD,A - Marked Patrol,Citation
68237,CARD,No,No,No,No,No,MD,02 - Automobile,2007.0,HUND,SONOTA,GOLD,13708b,No,HISPANIC,F,POTOMAC,MD,XX,A - Marked Patrol,Warning
55699,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,No,No,No,No,No,DC,02 - Automobile,2000.0,PORCHE,CONV,SILVER,13411c1,No,WHITE,M,WASHINGTON,DC,DC,A - Marked Patrol,Warning
18525,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUTOFSTATE LICENSE,Yes,No,No,No,No,NC,02 - Automobile,1998.0,PONTIAC,GRAND AM,GREEN DK,16303g,No,WHITE,M,KEARNEYSVILLE,WV,WV,A - Marked Patrol,Citation
28074,OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,No,No,No,No,No,MD,02 - Automobile,2006.0,FORD,FOCUS,RED,13401b1,No,HISPANIC,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Citation
14589,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2002.0,JEEP,TRK,BLACK,16303c,No,WHITE,F,HYATTSVILLE,MD,MD,Q - Marked Laser,Citation
67419,DRIVING VEH ON HWY WITH LAMP DEVICE IMPROPERLY DISPLAYING WHITE LIGHT FROM REAR,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,TAURUS,GOLD,22227d,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,Warning
11534,DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,No,No,No,No,No,MD,02 - Automobile,2005.0,CHEV,EQUINOX,GRAY,16113h,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
37468,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 50 IN 40MPH,No,No,No,No,No,MD,02 - Automobile,2014.0,NISS,4S,BLACK,21801a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
34830,STOP LIGHTS,No,No,No,No,No,MD,02 - Automobile,2000.0,TOYOTA,4RUNNER,BLACK,64,No,ASIAN,M,GERMANTOWN,MD,MD,A - Marked Patrol,SERO
36951,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2008.0,INFI,SU,SILVER,21201a1,No,WHITE,F,SILVER SPRING,MD,MD,B - Unmarked Patrol,Warning
41831,FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,MD,02 - Automobile,2008.0,HONDA,ACCORD,WHITE,222011,No,BLACK,F,BOWIE,MD,MD,A - Marked Patrol,Warning
3009,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2002.0,CHEVRLET,TAHOE,BEIGE,13411f,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
14502,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2005.0,HONDA,4S,BLACK,13401h,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
66129,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,NC,02 - Automobile,2011.0,TOYOTA,COROLLA,BLACK,13411f,No,OTHER,F,ROCKVILLE,MD,NC,A - Marked Patrol,Warning
60881,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,No,No,No,No,No,MD,02 - Automobile,1999.0,CADI,ETC,WHITE,13411c1,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
25086,NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,MD,02 - Automobile,2014.0,HYUNDAI,2DR,WHITE,219011b,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
8666,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYOTA,HIGHLANDER,WHITE,13411f,No,WHITE,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,Citation
38801,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2013.0,VWAGON,JETTA,SILVER,22226a,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
65866,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2013.0,NISSAN,ALTIMA,RED,13411f,No,OTHER,F,LAUREL,MD,MD,A - Marked Patrol,Warning
1998,HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,No,No,Yes,No,No,MD,02 - Automobile,2010.0,HOND,4S,RED,16105b1,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
57177,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,DC,02 - Automobile,1996.0,NISSAN,MAXIMA,WHITE,16112c,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
854,FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,MD,02 - Automobile,1997.0,JEEP,SUV,BLUE LIGHT,21707a,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
54617,DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,No,No,No,No,No,MD,02 - Automobile,2004.0,NISS,QUEST,GRAY,22204f,No,WHITE,M,OLNEY,MD,MD,A - Marked Patrol,Warning
40425,DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2008.0,TOYT,4S,GRAY,21202h1,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
1218,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,28 - Other,2003.0,MERZ,ML500 SUV,BLACK,13411f,No,ASIAN,M,DERWOOD,MD,MD,A - Marked Patrol,Citation
18227,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,05 - Light Duty Truck,1996.0,DODG,TK,WHITE,16303c,No,BLACK,M,SILVERSPRING,MD,DC,A - Marked Patrol,Citation
33035,STOP LIGHTS,No,No,No,No,No,MD,02 - Automobile,1994.0,HOND,2S,PURPLE,64,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,SERO
25471,EXCEEDING MAXIMUM SPEED 56 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,1999.0,FORD,TK,GRAY,218011,No,WHITE,F,HAGERSTOWN,MD,MD,Q - Marked Laser,Citation
16646,FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED PROPERTY DAMAGE ACCIDENT,No,No,No,No,No,MD,02 - Automobile,2011.0,NISSAN,ALTIMA,SILVER,20105a,No,HISPANIC,M,HYATTSVILLE,MD,MD,B - Unmarked Patrol,Citation
8787,NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,Yes,No,No,No,MD,02 - Automobile,2014.0,MERCEDES,4 DR,BLUE DARK,219011b,Yes,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
35168,Headlights,No,No,No,No,No,MD,02 - Automobile,2007.0,VOLV,S60,GRAY,55,No,OTHER,M,BETHESDA,MD,MD,A - Marked Patrol,SERO
8838,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,1994.0,FORD,RANGER,BLACK,16101a,No,BLACK,M,BALTIMORE,MD,MD,A - Marked Patrol,Citation
6833,EXCEEDING MAXIMUM SPEED 73 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,1995.0,MAZDA,4DR,WHITE,218011,No,BLACK,F,PIKESVILLE,MD,MD,E - Marked Stationary Radar,Citation
2914,FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYOTA,RAV4,BLACK,21801b,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,Citation
